limit_balance,age,education_clean,marriage_clean,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month
270000,32,1,2,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
290000,49,2,1,-2,-2,-2,-2,-2,-2,4040,5438.0,3116.0,13459,2685.0,2532.0,5457.0,3131.0,13526.0,2698.0,2544.0,1988.0,0
20000000,31,1,1,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
360000,35,1,3,-2,-2,-2,-2,-2,-2,3555,2570.0,0.0,0,0.0,6920.0,2570.0,0.0,0.0,0.0,6920.0,0.0,0
120000,37,3,2,-2,-2,-2,-2,-2,-2,2284,2007.0,1371.0,4639,360.0,2650.0,2007.0,1371.0,4639.0,360.0,2650.0,1947.0,0
20000,26,1,2,-2,-2,-2,-2,-2,-2,1000,8930.0,0.0,0,0.0,790.0,8930.0,0.0,0.0,0.0,790.0,0.0,0
380000,40,1,1,-2,-2,-2,-2,-2,-2,12839,11097.0,10933.0,62602,6408.0,16791.0,11212.0,10933.0,62602.0,150000.0,16791.0,5777.0,0
20000000,28,1,2,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0
50000000,29,2,2,-2,-2,-2,-2,-2,-2,902,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19440.0,0
430000,37,1,1,-2,-2,-2,-2,-2,-2,1013,0.0,2320.0,0,4139.0,0.0,0.0,2320.0,0.0,4139.0,1015.0,0.0,1
110000,38,2,1,-2,-2,-2,-2,-2,-2,4976,2532.0,3102.0,1979,690.0,1042.0,2532.0,3102.0,1979.0,690.0,1042.0,8420.0,0
280000,36,1,2,-2,-2,-2,-2,-2,-2,198,1979.0,500.0,55176,5950.0,289.0,1979.0,500.0,55176.0,5950.0,289.0,6757.0,0
290000,47,1,2,-2,-2,-2,-2,-2,-2,822,836.0,12.0,-824,-3830.0,-4220.0,850.0,12.0,0.0,2170.0,0.0,5000.0,0
160000,39,1,1,-2,-2,-2,-2,-2,-2,4138,0.0,0.0,0,2920.0,0.0,35.0,0.0,0.0,2920.0,0.0,12140.0,0
440000,49,2,1,-2,-2,-2,-2,-2,-2,942,2002.0,2942.0,2948,0.0,942.0,2002.0,2942.0,2948.0,0.0,942.0,1000.0,0
30000000,56,3,1,-2,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80000,25,1,2,-2,-2,-2,-2,-2,-2,4932,2638.0,2940.0,2946,9606.0,2946.0,2638.0,2940.0,2946.0,9606.0,2946.0,3345.0,0
20000000,32,1,1,-2,-2,-2,-2,-2,-2,14202,0.0,505.0,0,0.0,0.0,0.0,505.0,0.0,0.0,0.0,4950.0,0
150000,32,1,2,-2,-2,-2,-2,-2,-2,1999,3769.0,1999.0,1999,1500.0,1500.0,3769.0,1999.0,1999.0,1500.0,1500.0,1500.0,0
320000,30,1,2,-2,-2,-2,-2,-2,-2,633,8226.0,12664.0,1316,326.0,598.0,8226.0,12850.0,1316.0,326.0,598.0,8615.0,0
470000,37,1,1,-2,-2,-2,-2,-2,-1,0,0.0,0.0,0,0.0,924.0,0.0,0.0,0.0,0.0,924.0,32673.0,0
80000,38,1,1,-2,-2,-2,-2,-2,-2,0,0.0,517.0,0,0.0,0.0,339.0,517.0,0.0,0.0,0.0,0.0,0
380000,28,1,2,-2,-2,-2,-2,-2,-2,1294,1058.0,359.0,359,359.0,509.0,1058.0,359.0,359.0,359.0,509.0,359.0,0
20000000,31,1,2,-2,-2,-2,-2,-1,0,15321,1199.0,933.0,21227,55272.0,58587.0,5006.0,938.0,21380.0,58007.0,51413.0,7738.0,0
140000,27,2,1,-2,-2,-2,-2,-2,-2,444,0.0,1650.0,0,2226.0,0.0,0.0,1650.0,0.0,2226.0,0.0,656.0,1
20000000,30,2,1,-2,-2,-2,-2,-2,-2,42488,0.0,0.0,0,7637.0,21186.0,0.0,0.0,0.0,7637.0,21186.0,0.0,0
160000,46,3,1,-2,-2,-2,-2,-2,-2,-510,-520.0,0.0,-390,780.0,0.0,380.0,2000.0,0.0,101170.0,0.0,0.0,0
320000,41,1,2,-2,-2,-2,-2,-2,-2,2197,1376.0,3342.0,11970,9700.0,38473.0,1376.0,3343.0,11973.0,9700.0,38473.0,29757.0,0
80000,33,1,2,-2,-2,-2,-2,-1,0,0,747.0,0.0,0,3937.0,2359.0,747.0,0.0,0.0,3937.0,0.0,0.0,0
260000,35,1,1,-2,-2,-2,-2,-1,-1,-124,-124.0,-124.0,1599,360.0,882.0,0.0,0.0,1723.0,366.0,882.0,0.0,1
30000000,40,1,1,-2,-2,-2,-2,-2,-2,1529,3717.0,4541.0,5620,25.0,25.0,3717.0,4541.0,5620.0,25.0,0.0,7140.0,0
230000,52,3,1,-2,-2,-2,-2,-2,-2,986,3915.0,2233.0,1410,0.0,0.0,3939.0,2244.0,1421.0,0.0,0.0,236.0,0
50000000,73,2,1,-2,-2,-2,-2,-2,-2,0,2826.0,2652.0,2835,8896.0,3850.0,2826.0,2652.0,2835.0,8896.0,3850.0,711.0,1
120000,34,2,2,-2,-2,-2,-1,-1,-1,67,0.0,0.0,222,836.0,1259.0,0.0,0.0,222.0,836.0,1259.0,2797.0,0
130000,39,3,1,-2,-1,-1,-1,-1,-1,957,6214.0,1625.0,728,2464.0,1139.0,6220.0,1628.0,730.0,2466.0,1145.0,650.0,0
20000,25,1,2,-2,-2,-2,-1,-1,-1,0,0.0,0.0,6000,16321.0,286.0,0.0,0.0,6000.0,16321.0,286.0,0.0,0
130000,26,1,2,-2,-2,-2,-1,-1,-2,0,365.0,894.0,6006,1385.0,1666.0,365.0,894.0,6006.0,1385.0,1666.0,0.0,0
230000,36,2,1,-2,-2,-2,-1,0,-1,0,0.0,2800.0,346,346.0,999.0,0.0,2800.0,346.0,0.0,999.0,0.0,0
270000,36,2,2,-2,-2,-2,-1,-1,-1,-33,-33.0,24646.0,1585,15376.0,497.0,0.0,24679.0,4893.0,15376.0,497.0,5373.0,0
230000,29,2,2,-2,-1,-1,-1,-1,-1,0,4375.0,1225.0,401,2460.0,804.0,4375.0,1225.0,401.0,2460.0,804.0,708.0,0
140000,30,4,2,-2,-2,-2,-1,-1,0,2663,1823.0,1823.0,1769,84042.0,89381.0,1823.0,1823.0,1769.0,85096.0,9000.0,4000.0,0
70000,50,3,1,-2,-2,-1,0,0,0,27345,-1041.0,17571.0,17920,18296.0,18659.0,1041.0,18862.0,640.0,663.0,666.0,690.0,0
20000,41,1,2,-2,-2,0,0,0,0,18803,18376.0,19342.0,19081,19799.0,18718.0,36147.0,1281.0,658.0,1000.0,1000.0,760.0,1
350000,32,2,1,-2,-2,-1,0,0,0,19637,239770.0,8111.0,198877,191248.0,183157.0,242247.0,8111.0,198748.0,7000.0,6509.0,7022.0,0
420000,29,1,2,-2,-2,-1,0,0,0,392,396.0,47581.0,48070,47523.0,45834.0,400.0,47581.0,1715.0,1700.0,1850.0,2000.0,0
80000,27,1,2,-1,-1,-1,-2,-2,-2,1300,179.0,0.0,0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0
210000,35,1,1,-1,-1,-2,-2,-2,-2,3805,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30000000,40,1,1,-1,2,2,-2,-2,-2,7111,7111.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
320000,30,1,2,-1,-1,-1,-2,-2,-1,1663,7025.0,1189.0,0,2701.0,2043.0,7025.0,1189.0,0.0,2701.0,2043.0,0.0,1
170000,38,1,1,-1,-1,-2,-2,-2,-1,5910,0.0,0.0,0,0.0,3001.0,0.0,0.0,0.0,0.0,3001.0,9436.0,0
170000,30,1,1,-1,-1,-1,-2,-1,-1,364,14662.0,0.0,0,1861.0,-167.0,14662.0,0.0,0.0,1861.0,0.0,334.0,0
280000,30,1,2,-1,-1,-1,-2,-2,-2,26679,52223.0,25088.0,9427,2829.0,198.0,52223.0,25100.0,9427.0,2838.0,198.0,4139.0,0
180000,28,2,2,-1,-1,-1,-1,-1,-1,1832,0.0,832.0,332,416.0,416.0,0.0,416.0,332.0,500.0,3500.0,832.0,0
50000,26,1,2,-1,-1,-1,-1,-1,-1,1156,316.0,316.0,316,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,0
20000000,58,2,1,-1,-1,-1,-1,-2,-1,3035,199602.0,720.0,0,0.0,1500.0,199646.0,720.0,0.0,0.0,1500.0,185652.0,0
130000,25,2,2,-1,-1,-1,-1,-1,-1,1031,1583.0,776.0,776,776.0,776.0,1583.0,1000.0,776.0,776.0,776.0,12184.0,1
480000,35,2,1,-1,2,-1,-1,2,0,18214,11031.0,182123.0,188956,179179.0,181746.0,0.0,182123.0,12960.0,0.0,9000.0,50000.0,0
180000,33,1,2,-1,-1,-1,-1,-1,-1,2217,0.0,8264.0,0,3278.0,0.0,0.0,8264.0,0.0,3278.0,0.0,4646.0,0
160000,35,2,1,-1,-1,-1,-1,-1,-1,776,1172.0,380.0,776,1172.0,380.0,1172.0,380.0,776.0,1172.0,380.0,776.0,1
50000,25,1,2,-1,-1,-1,-1,-1,-1,574,801.0,686.0,527,312.0,442.0,801.0,686.0,527.0,312.0,442.0,8016.0,0
230000,45,3,1,-1,-1,-2,-1,0,-1,1633,8410.0,5722.0,10371,9998.0,1328.0,8435.0,5955.0,10371.0,0.0,1332.0,0.0,0
20000,23,1,2,-1,-1,-1,-1,-1,-2,292,780.0,0.0,593,0.0,0.0,780.0,0.0,593.0,0.0,0.0,0.0,0
340000,34,1,2,-1,-1,-1,-1,-1,-1,32488,42449.0,30042.0,28987,13104.0,59204.0,42552.0,30084.0,29033.0,13120.0,59273.0,1241.0,0
210000,33,1,2,-1,2,2,-1,-1,-1,970,2273.0,1303.0,5385,1814.0,0.0,1303.0,3.0,5387.0,1814.0,0.0,0.0,0
180000,29,1,2,-1,-1,-1,-1,-2,-2,1010,3070.0,307.0,0,0.0,0.0,3394.0,307.0,0.0,0.0,0.0,0.0,0
50000,48,3,1,-1,-1,-1,-1,-1,-1,1058,1726.0,390.0,390,390.0,390.0,1726.0,390.0,390.0,390.0,390.0,390.0,1
50000,24,2,2,-1,-1,-1,-1,0,-1,390,390.0,390.0,780,390.0,390.0,390.0,390.0,780.0,0.0,390.0,0.0,0
420000,34,1,2,-1,-1,-1,-1,-1,-1,13207,6184.0,6692.0,1039,1039.0,1503.0,6222.0,9723.0,1045.0,1042.0,1509.0,9215.0,1
360000,31,1,2,-1,-1,-1,-1,-2,-2,1483,9386.0,2635.0,-227,-1763.0,-4303.0,9386.0,2643.0,227.0,1536.0,12975.0,19818.0,0
250000,41,1,1,-1,-1,-1,-1,-1,-1,9146,10906.0,4614.0,28790,4418.0,10676.0,10957.0,4614.0,28796.0,4418.0,10676.0,0.0,0
50000,26,1,2,-1,-1,-1,-1,2,2,526,526.0,526.0,1913,1226.0,1752.0,526.0,526.0,1913.0,0.0,1052.0,0.0,1
240000,35,1,1,-1,-1,0,-1,0,-1,5770,10412.0,4578.0,5928,5619.0,13227.0,10420.0,1150.0,5928.0,3619.0,13227.0,7764.0,0
80000,35,2,1,-1,-1,-1,-1,-1,0,7961,15290.0,1806.0,-1203,14107.0,8575.0,20004.0,1806.0,0.0,20000.0,0.0,6955.0,0
490000,43,1,1,-1,-1,-1,-1,-1,-1,25916,14187.0,56573.0,81414,62063.0,14122.0,14187.0,56717.0,81414.0,62063.0,14122.0,25417.0,0
20000,25,1,2,-1,-1,-1,-1,-1,-2,2650,0.0,855.0,640,0.0,0.0,0.0,855.0,640.0,0.0,0.0,2742.0,0
150000,55,1,2,-1,-1,-1,-1,-1,-1,291,291.0,291.0,285,2085.0,8669.0,291.0,291.0,285.0,2091.0,8695.0,74646.0,0
50000,49,2,1,-1,-1,-1,-1,0,-1,1261,1261.0,1261.0,480,390.0,540.0,1261.0,1261.0,480.0,300.0,540.0,780.0,0
60000,26,1,2,-1,-1,2,-1,0,-1,440,880.0,440.0,880,440.0,1681.0,880.0,0.0,880.0,0.0,1681.0,811.0,0
80000,35,1,1,-1,2,-1,-1,-1,-1,3614,82.0,3723.0,303,662.0,3295.0,0.0,3723.0,891.0,662.0,3295.0,1088.0,0
210000,32,1,1,-1,-1,-1,-1,-1,-1,8600,0.0,4231.0,4221,4221.0,4483.0,0.0,4231.0,4221.0,4221.0,4483.0,4300.0,0
250000,54,2,1,-1,-1,2,-1,-1,-1,17582,600.0,600.0,9375,8765.0,3649.0,1200.0,0.0,9375.0,8765.0,3649.0,95417.0,0
50000,23,1,2,-1,-1,-1,-1,0,-1,1050,1050.0,974.0,1224,1224.0,1025.0,1050.0,974.0,1300.0,1050.0,1025.0,1050.0,0
20000000,31,1,2,-1,-1,-1,-1,-1,-1,4938,2277.0,1209.0,0,1440.0,0.0,2286.0,2712.0,0.0,1440.0,0.0,0.0,0
120000,28,1,2,-1,2,-1,-1,2,2,594,594.0,15611.0,7628,7361.0,9200.0,0.0,15611.0,3000.0,0.0,2000.0,0.0,0
360000,52,1,1,-1,-1,-1,-1,0,-1,14432,15329.0,13062.0,41977,24354.0,25948.0,15329.0,13062.0,41977.0,0.0,25948.0,21318.0,0
120000,54,3,1,-1,3,2,-1,-1,-1,632,632.0,316.0,316,316.0,316.0,0.0,0.0,316.0,316.0,316.0,316.0,0
140000,54,3,1,-1,-1,-1,-1,-1,-1,1045,1947.0,998.0,955,1976.0,1895.0,1952.0,1001.0,957.0,1981.0,1900.0,1822.0,0
20000000,31,2,2,-1,-1,-1,-1,-1,-1,7179,7626.0,3802.0,1271,1489.0,1260.0,7631.0,3803.0,1271.0,1489.0,1260.0,1373.0,0
50000,39,2,1,-1,-1,-1,-1,-1,-1,390,390.0,390.0,390,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1
260000,45,2,1,-1,-1,-1,-1,-1,-1,7893,5923.0,5601.0,5480,5911.0,5963.0,5923.0,5601.0,5482.0,5911.0,5963.0,5757.0,0
90000,30,1,2,-1,-1,-1,-1,-1,-1,1166,1918.0,930.0,930,2250.0,930.0,1918.0,1194.0,930.0,2250.0,930.0,930.0,0
140000,37,3,1,-1,-1,-1,-1,-1,-1,13806,1003.0,1170.0,1003,1003.0,1003.0,1003.0,1170.0,1003.0,1003.0,1003.0,1003.0,1
250000,34,2,1,-1,-1,-1,-1,-1,0,6461,8117.0,2200.0,3772,8650.0,17650.0,8117.0,2200.0,3772.0,8650.0,10000.0,4646.0,0
160000,29,1,2,-1,-1,2,-1,0,-1,1116,2599.0,1302.0,1852,736.0,3542.0,2599.0,0.0,1852.0,0.0,3542.0,0.0,1
80000,33,2,2,-1,-1,-1,-1,-1,-1,32394,23160.0,31484.0,396,3832.0,3867.0,23185.0,31610.0,396.0,3832.0,3867.0,1500.0,0
20000,23,1,2,-1,-1,-1,-1,-1,-1,1207,0.0,174.0,1200,1434.0,0.0,0.0,174.0,1200.0,1434.0,0.0,974.0,0
280000,28,1,2,-1,-1,-1,-1,-1,0,269,4160.0,3590.0,274,5274.0,8222.0,4166.0,3607.0,275.0,5275.0,3223.0,3335.0,0
130000,39,4,2,-1,-1,-1,-1,-1,-1,264,264.0,264.0,264,0.0,678.0,264.0,264.0,264.0,0.0,942.0,0.0,0
10000,23,1,2,-1,2,-1,-1,-1,-1,780,390.0,390.0,0,780.0,0.0,0.0,390.0,0.0,780.0,0.0,0.0,1
50000000,41,1,1,-1,-1,-1,-1,-1,-1,11060,6860.0,27243.0,2487,6269.0,10744.0,6895.0,27398.0,3104.0,6300.0,10797.0,4882.0,0
240000,42,2,1,-1,-1,-1,-1,0,0,795,1916.0,1530.0,2961,5962.0,7336.0,1921.0,1534.0,2961.0,3001.0,2024.0,1000.0,0
180000,48,1,1,-1,-1,-1,-1,-1,0,325,1260.0,325.0,1000,1100.0,1100.0,1260.0,325.0,1000.0,1100.0,0.0,0.0,0
130000,42,1,2,-1,-1,-1,-1,-1,-1,836,836.0,836.0,836,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,0
170000,64,2,1,-1,-1,-1,-1,0,-1,1922,1788.0,1.0,2739,1158.0,685.0,1788.0,9.0,3897.0,0.0,685.0,0.0,0
20000,57,3,2,-1,-1,-2,-1,-1,-1,170,-220.0,-610.0,18990,390.0,930.0,0.0,0.0,19990.0,390.0,930.0,0.0,0
20000000,54,1,1,-1,-1,-1,-1,-1,-1,22413,890.0,1649.0,2121,0.0,51110.0,890.0,1649.0,2121.0,0.0,51110.0,1053.0,0
150000,27,2,2,-1,-1,-1,-1,0,0,1518,1798.0,5699.0,4644,70337.0,67902.0,1798.0,5699.0,4644.0,70331.0,3000.0,3000.0,0
80000,29,1,1,-1,-1,-1,-1,0,-1,2175,358.0,1872.0,746,746.0,4424.0,358.0,1872.0,746.0,0.0,4424.0,0.0,0
310000,38,2,1,-1,-1,-1,-1,-1,-1,23285,1058.0,0.0,1312,4836.0,11795.0,1058.0,142.0,1312.0,4836.0,11795.0,0.0,0
50000000,49,3,1,-1,-1,-1,-1,-1,-1,12536,27882.0,35031.0,42145,7347.0,152769.0,28023.0,35477.0,42360.0,7387.0,153532.0,15603.0,0
360000,40,2,1,-1,-1,-1,-1,0,-1,250,1088.0,3189.0,3093,4019.0,2407.0,1088.0,3215.0,3104.0,2026.0,2414.0,8089.0,1
210000,36,1,2,-1,-1,2,-1,-1,-1,931,2562.0,736.0,270,-466.0,1798.0,2570.0,0.0,270.0,0.0,3000.0,0.0,0
360000,29,1,2,-1,-1,-1,-1,-1,-1,885,10553.0,1943.0,2640,1741.0,4120.0,10553.0,2000.0,2700.0,2000.0,4120.0,4118.0,0
30000000,28,1,2,-1,-1,-1,-1,-2,-1,14033,6500.0,1477.0,0,0.0,1346.0,6520.0,1477.0,0.0,0.0,1346.0,0.0,1
170000,38,1,2,-1,-1,-1,-1,-2,-2,822,-3.0,1243.0,0,0.0,0.0,0.0,1246.0,0.0,0.0,0.0,0.0,0
450000,35,1,2,-1,-1,-1,-1,-1,-1,7256,812.0,17563.0,12483,26081.0,22985.0,816.0,17651.0,12554.0,26212.0,23114.0,2512.0,0
180000,33,2,2,-1,-1,-1,-1,-1,-1,4160,7817.0,2358.0,18572,11560.0,4298.0,7817.0,2358.0,18577.0,11560.0,4298.0,12330.0,0
230000,33,1,2,-1,-1,-1,-1,-1,-1,2227,3496.0,4006.0,411,1511.0,1334.0,3496.0,4091.0,411.0,1511.0,1334.0,1157.0,0
80000,23,1,2,-1,-1,-1,-1,0,0,444,444.0,444.0,888,888.0,444.0,444.0,444.0,888.0,444.0,0.0,1038.0,0
50000000,45,1,1,-1,-1,-1,-1,-1,0,1302,5230.0,3373.0,14071,2915.0,157.0,5308.0,3527.0,14133.0,2928.0,2.0,343.0,1
20000000,48,3,3,-1,-1,-1,-1,0,0,7331,4760.0,3529.0,11711,38079.0,0.0,4780.0,3529.0,11726.0,35000.0,0.0,0.0,0
10000000,35,2,2,-1,-1,-1,-1,-1,0,326,2691.0,326.0,326,652.0,326.0,2691.0,326.0,326.0,652.0,0.0,326.0,1
50000,45,1,1,-1,-1,-1,-1,-1,-1,7963,1664.0,5408.0,2734,7976.0,0.0,1669.0,5413.0,2734.0,7976.0,0.0,7000.0,0
220000,45,2,2,-1,-1,-1,-1,-1,0,990,990.0,990.0,990,5538.0,5687.0,990.0,990.0,990.0,5538.0,1206.0,1204.0,0
280000,36,1,1,-1,2,-1,-1,-1,0,832,416.0,416.0,416,59211.0,416.0,0.0,416.0,416.0,59211.0,0.0,378.0,0
50000,25,1,2,-1,-1,-1,-1,-1,-1,9716,25045.0,15180.0,6964,7604.0,2173.0,25045.0,15522.0,6964.0,7604.0,2173.0,6586.0,1
10000000,26,1,2,-1,-1,-1,-1,-1,-1,1872,4490.0,4056.0,10782,3187.0,18515.0,4503.0,4066.0,10900.0,3196.0,18543.0,3215.0,0
30000000,41,3,1,-1,-1,-1,-1,-1,-1,1556,118157.0,11409.0,11907,3965.0,18327.0,118816.0,11488.0,11967.0,3983.0,18416.0,6260.0,0
210000,31,2,1,-1,-1,2,-1,-1,-1,1748,2488.0,740.0,2048,740.0,740.0,2488.0,0.0,2048.0,740.0,740.0,740.0,0
50000,24,2,2,-1,0,0,0,0,0,1399,2441.0,3865.0,7476,8384.0,8085.0,1070.0,1500.0,3666.0,2477.0,1306.0,1000.0,0
30000,24,1,2,-1,-1,-1,0,0,0,3019,1479.0,18860.0,950,5660.0,0.0,1479.0,18881.0,0.0,4710.0,0.0,7153.0,0
340000,26,1,2,-1,0,0,0,0,-1,58363,106270.0,159464.0,155685,137838.0,6556.0,56270.0,59503.0,3330.0,40.0,6556.0,16390.0,0
180000,47,3,1,-1,0,0,0,0,0,14525,13828.0,10394.0,17562,8495.0,5090.0,1347.0,5000.0,10026.0,5000.0,785.0,5000.0,0
20000000,27,1,2,-1,-1,-1,0,0,-1,630,825.0,1890.0,1260,630.0,630.0,825.0,1890.0,0.0,0.0,630.0,1030.0,0
60000,30,2,1,-1,0,0,0,0,0,54379,55029.0,54422.0,19843,19095.0,19495.0,2269.0,1385.0,1000.0,693.0,717.0,661.0,0
180000,40,1,1,-1,0,0,0,-1,0,4236,6614.0,6216.0,3622,4095.0,6596.0,3016.0,3000.0,1622.0,4095.0,3000.0,2827.0,0
220000,25,1,2,-1,-1,0,0,0,0,-1855,84332.0,85897.0,90106,94129.0,101037.0,88444.0,4000.0,5000.0,5000.0,8000.0,5000.0,0
50000,23,1,2,-1,-1,-1,0,-1,-1,1300,628.0,4050.0,3050,1243.0,865.0,628.0,4050.0,0.0,1243.0,865.0,3000.0,0
120000,36,2,1,-1,-1,-1,0,-1,-1,326,0.0,652.0,326,326.0,476.0,0.0,978.0,0.0,326.0,476.0,326.0,0
280000,32,1,2,-1,-1,-1,0,-1,-1,13532,3312.0,14907.0,3008,8988.0,11547.0,23871.0,14907.0,0.0,8988.0,11547.0,19826.0,0
140000,24,1,2,-1,-1,0,0,0,0,13408,97396.0,92990.0,93960,96724.0,91539.0,97396.0,4070.0,3225.0,4137.0,3100.0,2300.0,0
210000,36,2,2,-1,-1,-1,0,0,-1,5491,8398.0,14307.0,17891,8517.0,23960.0,8406.0,14307.0,6000.0,0.0,23960.0,1000.0,0
80000,22,2,2,-1,-1,-1,0,0,-1,3436,3473.0,10007.0,3584,2961.0,3831.0,3473.0,10020.0,2986.0,22.0,3835.0,5683.0,0
140000,30,2,2,-1,-1,-1,0,0,0,1288,-4925.0,136239.0,137748,81195.0,47338.0,0.0,143200.0,5200.0,2352.0,2000.0,2000.0,0
160000,26,1,2,-1,0,0,0,0,-2,157453,155081.0,137027.0,70845,0.0,0.0,5937.0,5000.0,1417.0,0.0,0.0,0.0,0
20000000,37,3,1,-1,-1,-1,0,0,-1,10701,4251.0,5144.0,6807,51013.0,54416.0,4251.0,5144.0,2000.0,44406.0,54725.0,3000.0,0
10000,23,2,2,-1,0,0,0,0,-2,10078,8886.0,8815.0,9600,0.0,0.0,1300.0,1300.0,1000.0,0.0,0.0,0.0,0
50000000,25,1,2,-1,0,0,0,0,0,119193,163856.0,170201.0,162212,145184.0,118467.0,70005.0,10051.0,6119.0,7303.0,15090.0,10191.0,0
30000,25,1,2,-1,2,-1,0,0,0,5285,4053.0,1405.0,3844,3427.0,417.0,0.0,1405.0,3427.0,0.0,0.0,984.0,1
310000,41,1,1,-1,0,0,0,0,0,30680,126866.0,129449.0,106382,98892.0,92599.0,10000000.0,16036.0,5000.0,3000.0,3000.0,3000.0,0
180000,55,3,2,-1,0,0,0,0,0,52824,53165.0,54842.0,54868,56286.0,56621.0,2000.0,3002.0,3000.0,2300.0,2345.0,2000.0,0
20000000,32,2,1,-1,-1,0,0,-1,-1,80,89691.0,91517.0,72739,389.0,389.0,90001.0,3935.0,3759.0,390.0,390.0,390.0,0
10000,43,3,2,-1,-1,-1,0,0,-2,1593,1928.0,5797.0,7727,4196.0,0.0,2006.0,5805.0,4013.0,4217.0,4.0,12700.0,0
150000,38,2,1,-1,-1,0,0,-1,-1,5584,1106.0,2199.0,2997,735.0,1104.0,1106.0,1208.0,1006.0,50000.0,1104.0,0.0,0
